nom,code,type,gid,adresse,lon,lat
Point rencontre départemental,E,E10,13696,60 rue d'Armagnac,-0.5519352,44.8216106
Marché biologique Saint-Amand,O,O4,13778,,-0.6150503,44.8514467
Marché des Pins Francs,O,O4,13782,,-0.6230942,44.8578439
Marché Pey-Berland,O,O4,13787,Place Pey Berland,-0.576729,44.8378917
Marché des bouquinistes,O,O4,13788,,-0.5774188,44.8429463
Marché de la Lumineuse,O,O4,13796,,-0.5466288,44.8723266
Marché des Capucins (couvert),O,O4,3152,,-0.568206,44.8305149
Marché Grand déballage de brocante (Saint-Michel),O,O4,13819,,-0.5655019,44.8341055
Marché Brocante (Saint-Michel),O,O4,13820,,-0.5657358,44.8340357
Marché Coeur de Tauzin,O,O4,13976,,-0.6013779,44.8227685
Autorité de Sûreté Nucléaire (ASN),E,E6,14541,2 rue du Moulin Rouge,-0.6026774,44.8416246
MECA (Maison de l'Economie Créative et de la Culture en Nouvelle Aquitaine),D,D5,17541,120 quai de Paludate,-0.5522642,44.8285392
OARA (Office Artistique de la Région de Nouvelle Aquitaine),D,D5,17543,120 quai de Paludate,-0.5520493,44.8283178
Pôle Territorial Bordeaux,M,M2,26,4 rue Claude Bonnier,-0.5824051,44.8381064
Préfecture de la Gironde,E,E18,69,,-0.5865945,44.8374272
Ecole Elémentaire Nuyens,A,A2,329,20 rue de Nuyens,-0.5605556,44.8442163
Hôtel de ville,O,O1,137,Place Pey Berland,-0.5789965,44.8379091
Mairie de quartier Bordeaux Centre ville,O,O1,2458,19 rue Père Louis de Jabrun,-0.5766248,44.839121
Direction Interrégionale de la Mer Sud-Atlantique (DIRMSA),E,E6,2478,3 rue Fondaudège,-0.5781291,44.8455108
Centre Inter Régional Coordination Sécurité Civile (CIRCOSC),E,E3,2479,10 rue Charles Monselet,-0.5898981,44.8432597
Rectorat de l'académie de Bordeaux - Annexe,E,E5,2487,17 rue Desfourniel,-0.5812276,44.8337817
Rectorat et chancellerie de l'académie de Bordeaux,E,E5,2488,5 rue Joseph de Carayon Latour,-0.5822542,44.8370732
Direction des Services Départementaux de l'Education Nationale de Gironde (DSDEN) - Inspection académique,E,E5,2491,30 cours de la Luze,-0.5791775,44.8562266
Institut technologique Forêt Cellulose Bois-construction Ameublement (FCBA),E,E5,2492,116 allée de Boutaut,-0.5747778,44.869913
Direction Nationale du Renseignement et des Enquêtes Douanières (DNRED),E,E4,2498,11 cours de Tournon,-0.5769093,44.8453507
Direction de Contrôle Fiscal Sud-Ouest (DIRCOFI),E,E4,2501,72 rue Abbé de l'Epée,-0.5829317,44.8429034
Office National des Anciens Combattants et Victimes de Guerre (ONACVG),E,E3,2510,103 bis rue Belleville,-0.5860354,44.8341142
Service administratif de la Marine Nationale,E,E3,2511,54 rue Croix de Seguey,-0.5897168,44.8513354
Direction Régionale des Affaires Culturelles (DRAC),E,E2,2512,54 rue Magendie,-0.5755929,44.8326666
